,run_id,glacier_id,start_date_str,end_date_str
186,Dehecq - CTL,RGI60-14.06847,2000-09-11,2012-09-28
187,Dehecq - CTL,RGI60-14.06848,2000-09-11,2012-09-28
188,Dehecq - CTL,RGI60-14.06849,2000-09-11,2012-09-28
189,Dehecq - CTL,RGI60-14.06850,2000-09-11,2012-09-28
190,Dehecq - CTL,RGI60-14.06851,2000-09-11,2012-09-28
191,Dehecq - CTL,RGI60-14.06852,2000-09-11,2012-09-28
192,Dehecq - CTL,RGI60-14.06853,2000-09-11,2012-09-28
193,Dehecq - CTL,RGI60-14.06854,2000-09-11,2012-09-28
194,Dehecq - CTL,RGI60-14.06855,2000-09-11,2012-09-28
195,Dehecq - CTL,RGI60-14.06864,2000-09-11,2012-09-28
196,Dehecq - CTL,RGI60-14.06888,2000-09-11,2012-09-28
197,Dehecq - CTL,RGI60-14.06922,2000-09-11,2012-09-28
198,Dehecq - CTL,RGI60-14.06957,2000-09-11,2012-09-28
199,Dehecq - CTL,RGI60-14.06958,2000-09-11,2012-09-28
200,Dehecq - CTL,RGI60-14.06959,2000-09-11,2012-09-28
201,Dehecq - CTL,RGI60-14.07004,2000-09-11,2012-09-28
202,Dehecq - CTL,RGI60-14.07005,2000-09-11,2012-09-28
203,Dehecq - CTL,RGI60-14.07006,2000-09-11,2012-09-28
204,Dehecq - CTL,RGI60-14.07087,2000-09-11,2012-09-28
205,Dehecq - CTL,RGI60-14.07343,2000-09-11,2012-09-28
206,Dehecq - CTL,RGI60-14.09954,2000-09-11,2012-09-28
207,Dehecq - CTL,RGI60-14.10058,2000-09-11,2012-09-28
208,Dehecq - CTL,RGI60-14.10059,2000-09-11,2012-09-28
209,Dehecq - CTL,RGI60-14.10060,2000-09-11,2012-09-28
210,Dehecq - CTL,RGI60-14.10061,2000-09-11,2012-09-28
211,Dehecq - CTL,RGI60-14.10062,2000-09-11,2012-09-28
212,Dehecq - CTL,RGI60-14.10063,2000-09-11,2012-09-28
213,Dehecq - CTL,RGI60-14.10064,2000-09-11,2012-09-28
214,Dehecq - CTL,RGI60-14.10065,2000-09-11,2012-09-28
215,Dehecq - CTL,RGI60-14.10066,2000-09-11,2012-09-28
216,Dehecq - CTL,RGI60-14.10067,2000-09-11,2012-09-28
217,Dehecq - CTL,RGI60-14.10068,2000-09-11,2012-09-28
218,Dehecq - CTL,RGI60-14.10069,2000-09-11,2012-09-28
219,Dehecq - CTL,RGI60-14.10070,2000-09-11,2012-09-28
