,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
28,Bolch,Bolch -  CLT1,RGI60-17.15859, CLT1,222.9111,2000-02-11/22,3/24/2014,-14.1756518,4.777776203,-3.159910136,1.065047989,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.0045899922293364,0.3385880399972352
29,Bolch,Bolch -  CLT1,RGI60-17.15860, CLT1,0.0999,2000-02-11/22,3/24/2014,-3.510572818,13.32248097,-0.000350706,0.0013310070000000002,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.24878477333614668,0.9441280896958674
30,Bolch,Bolch -  CLT1,RGI60-17.15861, CLT1,0.1386,2000-02-11/22,3/24/2014,2.595962278,12.7547752,0.0003598,0.001767845,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,0.18396880520750875,0.903896321653085
31,Bolch,Bolch -  CLT1,RGI60-17.15862, CLT1,0.2457,2000-02-11/22,3/24/2014,-3.491383728,11.81961778,-0.000857833,0.002904185,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.2474248945774156,0.8376242518713621
32,Bolch,Bolch -  CLT1,RGI60-17.15863, CLT1,1.0773,2000-02-11/22,3/24/2014,-7.4889019679999995,9.7101635,-0.008067794,0.010461278000000001,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5307181691525029,0.6881329488504074
33,Bolch,Bolch -  CLT1,RGI60-17.15864, CLT1,25.9191,2000-02-11/22,3/24/2014,-8.441234107,6.360860474,-0.21878919100000002,0.164870151,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5982073646840803,0.4507769282360302
34,Bolch,Bolch -  CLT1,RGI60-17.15865, CLT1,1.0908,2000-02-11/22,3/24/2014,-7.490697601,9.694093768,-0.008170853,0.010574914,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5308454207926367,0.686994130532014
35,Bolch,Bolch -  CLT1,RGI60-17.15866, CLT1,0.1053,2000-02-11/22,3/24/2014,-2.461569073,13.22952785,-0.000259203,0.0013931079999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.17444472330486033,0.9375407542127474
36,Bolch,Bolch -  CLT1,RGI60-17.15867, CLT1,0.2097,2000-02-11/22,3/24/2014,-4.8738106619999995,12.07131901,-0.001022038,0.002531443,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.34539374161728753,0.8554616353128638
37,Bolch,Bolch -  CLT1,RGI60-17.15868, CLT1,2.0169,2000-02-11/22,3/24/2014,-8.395250865,8.933143238,-0.016932381,0.018017874,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5949486570510768,0.633067630516007
38,Bolch,Bolch -  CLT1,RGI60-17.15869, CLT1,6.3171,2000-02-11/22,3/24/2014,-8.507586113,7.674647856,-0.053743272,0.048483354000000006,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.6029095513723807,0.5438814764074505
39,Bolch,Bolch -  CLT1,RGI60-17.15870, CLT1,1.2411,2000-02-11/22,3/24/2014,-7.095062031,9.52908097,-0.008805681,0.011826848999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5028078010909488,0.6753001211277648
40,Bolch,Bolch -  CLT1,RGI60-17.15871, CLT1,0.09,2000-02-11/22,3/24/2014,-12.26225342,13.50868468,-0.001103603,0.001216694,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.8689926390483121,0.9573238415541327
41,Bolch,Bolch -  CLT1,RGI60-17.15872, CLT1,1.3122,2000-02-11/22,3/24/2014,-6.434307521,9.458740569,-0.008443098000000001,0.012412393999999998,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.4559819212350117,0.6703152877041618
42,Bolch,Bolch -  CLT1,RGI60-17.15873, CLT1,0.6615,2000-02-11/22,3/24/2014,-3.981652183,10.36088489,-0.0026338629999999997,0.006854011,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.2821688901514843,0.7342478087063445
43,Bolch,Bolch -  CLT1,RGI60-17.15874, CLT1,1.1322,2000-02-11/22,3/24/2014,-9.359053389,9.646183946,-0.01059632,0.010922046999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.6632507276546856,0.6835988914001746
44,Bolch,Bolch -  CLT1,RGI60-17.15875, CLT1,13.1778,2000-02-11/22,3/24/2014,-17.43483225,6.959663005,-0.229752732,0.09172755199999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.2355592703361467,0.49321243938227594
45,Bolch,Bolch -  CLT1,RGI60-17.15876, CLT1,1.9269,2000-02-11/22,3/24/2014,-5.082011858,8.987544379,-0.009792529,0.017318396,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.36014839564115253,0.6369228918179568
46,Bolch,Bolch -  CLT1,RGI60-17.15877, CLT1,80.3079,2000-02-11/22,3/24/2014,-21.90080294,5.472609607000001,-1.7588074919999999,0.439523546,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.5520504993859139,0.38782899863344006
47,Bolch,Bolch -  CLT1,RGI60-17.15886, CLT1,0.6318,2000-02-11/22,3/24/2014,-6.170998817,10.42437987,-0.003898837,0.006586681,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.4373219475958964,0.7387475257115832
48,Bolch,Bolch -  CLT1,RGI60-17.15887, CLT1,31.8294,2000-02-11/22,3/24/2014,-20.74335147,6.189436822,-0.660248431,0.197027373,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.470025053243597,0.43862859899796275
49,Bolch,Bolch -  CLT1,RGI60-17.15888, CLT1,12.6135,2000-02-11/22,3/24/2014,-10.98105426,7.000292421,-0.13850952800000002,0.08830162400000001,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.7781975297759022,0.4960917358886787
