,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
26,Dehecq,Dehecq - CTL,RGI60-14.06806,CTL,0.078,2000-09-11,2013-10-10,-2.7043449377850743,46.698285330027076,-0.0002109389051472358,0.003642466255742111,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.20677454229139594,3.5705565662115117
27,Dehecq,Dehecq - CTL,RGI60-14.06807,CTL,0.336,2000-09-11,2013-10-10,-3.539515322859142,7.252912332918358,-0.0011892771484806714,0.0024369785438605684,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.2706317713364667,0.554558557588116
28,Dehecq,Dehecq - CTL,RGI60-14.06808,CTL,0.025,2000-09-11,2013-10-10,-3.275615112557719,51.15232115737329,-8.189037781394298e-05,0.0012788080289343321,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.25045392921534576,3.911112686357671
29,Dehecq,Dehecq - CTL,RGI60-14.06809,CTL,0.111,2000-09-11,2013-10-10,-4.539212991610925,44.75364286472453,-0.0005038526420688127,0.004967654357984423,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.34706877646763457,3.4218689672054925
30,Dehecq,Dehecq - CTL,RGI60-14.06810,CTL,0.124,2000-09-11,2013-10-10,-3.7248411639145056,8.989834606364289,-0.0004618803043253987,0.0011147394911891716,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.28480180764491797,0.6873638455044079
31,Dehecq,Dehecq - CTL,RGI60-14.06811,CTL,0.094,2000-09-11,2013-10-10,-4.259279192022964,42.704628834276654,-0.0004003722440501585,0.004014235110422006,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.32566500416294486,3.265201105656175
32,Dehecq,Dehecq - CTL,RGI60-14.06812,CTL,0.053,2000-09-11,2013-10-10,-4.1816906744295474,48.48257373083558,-0.00022162960574476602,0.002569576407734285,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3197325766873335,3.70698347397691
33,Dehecq,Dehecq - CTL,RGI60-14.06813,CTL,0.048,2000-09-11,2013-10-10,1.0184189983489194,45.13155497963918,4.888411192074812e-05,0.002166314639022681,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.07786844026521725,3.4507641733961085
34,Dehecq,Dehecq - CTL,RGI60-14.06816,CTL,0.06,2000-09-11,2013-10-10,-4.377448163011018,48.04642390732769,-0.00026264688978066116,0.002882785434439661,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3347002180321906,3.6736354055163156
35,Dehecq,Dehecq - CTL,RGI60-14.06817,CTL,0.044000000000000004,2000-09-11,2013-10-10,-4.167950721546581,49.216370630094325,-0.00018338983174804961,0.00216552030772415,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.318682018221664,3.7630896739882673
