,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
32,Dussaillant,Dussaillant - SEAS,RGI60-11.01698,SEAS,9.4,2011.09.30,2017.09.30,-7.912000000000001,2.4659999999999997,-0.07400000000000001,0.023,2011-09-30,2017-09-30,tab:red,AST,2011-09-30,2017-09-30,2192 days 00:00:00.000000000,-1.3183658759124088
33,Dussaillant,Dussaillant - SEAS,RGI60-11.01797,SEAS,7.4,2011.09.30,2017.09.30,-8.093,2.469,-0.06,0.018000000000000002,2011-09-30,2017-09-30,tab:red,AST,2011-09-30,2017-09-30,2192 days 00:00:00.000000000,-1.3485256614963503
34,Dussaillant,Dussaillant - SEAS,RGI60-11.01827,SEAS,19.3,2011.09.30,2017.09.30,-9.795,2.467,-0.18899999999999997,0.048,2011-09-30,2017-09-30,tab:red,AST,2011-09-30,2017-09-30,2192 days 00:00:00.000000000,-1.6321276231751825
35,Florentine,Florentine - CTL,RGI60-11.01346,CTL,18.842,2011-09-23,2017-09-22,-4.53,18.822778019197916,-0.08535426,0.3546587834377271,2011-09-23,2017-09-22,tab:purple,both,2011-09-23,2017-09-22,2191 days 00:00:00.000000000,-0.7551722957553628
36,Florentine,Florentine - CTL,RGI60-11.01450,CTL,82.206,2011-09-23,2017-09-22,-2.59,19.40569393142126,-0.21291353999999998,1.5952644753264162,2011-09-23,2017-09-22,tab:purple,both,2011-09-23,2017-09-22,2191 days 00:00:00.000000000,-0.4317651757188498
37,Florentine,Florentine - CTL,RGI60-11.01698,CTL,9.402999999999999,2011-09-23,2017-09-22,4.960000000000001,22.21144848968657,0.04663888,0.2088542501485228,2011-09-23,2017-09-22,tab:purple,both,2011-09-23,2017-09-22,2191 days 00:00:00.000000000,0.8268553172067551
38,Florentine,Florentine - CTL,RGI60-11.01797,CTL,7.428,2011-09-23,2017-09-22,-1.17,15.026859285958595,-0.008690759999999999,0.11161951077610044,2011-09-23,2017-09-22,tab:purple,both,2011-09-23,2017-09-22,2191 days 00:00:00.000000000,-0.1950445002282063
39,Florentine,Florentine - CTL,RGI60-11.01827,CTL,19.285999999999998,2011-09-23,2017-09-22,7.46,25.49735052902556,0.14387355999999998,0.4917419023027869,2011-09-23,2017-09-22,tab:purple,both,2011-09-23,2017-09-22,2191 days 00:00:00.000000000,1.2436170698311273
40,Hugonnet,Hugonnet - CTL,RGI60-11.01346,CTL,18.842,2011-09-01,2017-09-01,-5.931999999999999,4.141574579794502,-0.11177074399999996,0.07902830280489517,2011-09-01,2017-09-01,tab:brown,AST,2011-09-01,2017-09-01,2192 days 00:00:00.000000000,-0.9884411496350363
41,Hugonnet,Hugonnet - CTL,RGI60-11.01450,CTL,82.206,2011-09-01,2017-09-01,-8.532999999999998,3.23288663581017,-0.7014637979999998,0.2694580334677526,2011-09-01,2017-09-01,tab:brown,AST,2011-09-01,2017-09-01,2192 days 00:00:00.000000000,-1.421842267335766
42,Hugonnet,Hugonnet - CTL,RGI60-11.01698,CTL,9.402999999999999,2011-09-01,2017-09-01,-6.102,4.65586640701814,-0.057377106,0.04429744919860744,2011-09-01,2017-09-01,tab:brown,AST,2011-09-01,2017-09-01,2192 days 00:00:00.000000000,-1.0167680200729927
43,Hugonnet,Hugonnet - CTL,RGI60-11.01797,CTL,7.428,2011-09-01,2017-09-01,-7.951,5.039882935148395,-0.059060028000000014,0.038172851690944434,2011-09-01,2017-09-01,tab:brown,AST,2011-09-01,2017-09-01,2192 days 00:00:00.000000000,-1.3248643932481752
44,Hugonnet,Hugonnet - CTL,RGI60-11.01827,CTL,19.285999999999998,2011-09-01,2017-09-01,-10.172,4.141378031525255,-0.196177192,0.08489068645183626,2011-09-01,2017-09-01,tab:brown,AST,2011-09-01,2017-09-01,2192 days 00:00:00.000000000,-1.6949466240875912
45,Krieger,Krieger - COPERNICUS,RGI60-11.01346,COPERNICUS,18.825552,2011-08-21,2018-01-03,-9.642031,0.871604,-0.181517,0.011786,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.5134300914267296
46,Krieger,Krieger - COPERNICUS,RGI60-11.01450,COPERNICUS,82.16856,2011-08-21,2018-01-03,-12.172998,0.36988200000000004,-1.000238,0.017644999999999997,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.9106951093682853
47,Krieger,Krieger - COPERNICUS,RGI60-11.01698,COPERNICUS,9.401328,2011-08-21,2018-01-03,-9.071422,0.887541,-0.085283,0.0073620000000000005,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.4238663023205844
48,Krieger,Krieger - COPERNICUS,RGI60-11.01797,COPERNICUS,7.432703999999999,2011-08-21,2018-01-03,-11.948963000000001,1.196,-0.088813,0.008458,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.875530182960894
49,Krieger,Krieger - COPERNICUS,RGI60-11.01827,COPERNICUS,19.282896,2011-08-21,2018-01-03,-11.578284,0.45757600000000004,-0.22326300000000002,0.008454000000000001,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.8173477571981094
50,Krieger,Krieger - TDMGLOBAL,RGI60-11.01346,TDMGLOBAL,18.825552,2011-08-21,2018-01-03,-7.239453999999999,0.637774,-0.136287,0.008307,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.1363173929952728
51,Krieger,Krieger - TDMGLOBAL,RGI60-11.01450,TDMGLOBAL,82.16856,2011-08-21,2018-01-03,-11.479255,0.417332,-0.943234,0.012226,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.8018039917275464
52,Krieger,Krieger - TDMGLOBAL,RGI60-11.01698,TDMGLOBAL,9.401328,2011-08-21,2018-01-03,-9.000555,0.71295,-0.084617,0.006091,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.412742893747314
53,Krieger,Krieger - TDMGLOBAL,RGI60-11.01797,TDMGLOBAL,7.432703999999999,2011-08-21,2018-01-03,-9.82819,1.065758,-0.07305,0.008865000000000001,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.5426499344649762
54,Krieger,Krieger - TDMGLOBAL,RGI60-11.01827,TDMGLOBAL,19.282896,2011-08-21,2018-01-03,-10.99965,0.298406,-0.21210500000000002,0.00536,2011-08-21,2018-01-03,tab:pink,TDX,2011-08-21,2018-01-03,2327 days 00:00:00.000000000,-1.726524350021487
55,Sommer,Sommer - CTL,RGI60-11.01346,CTL,18.765,2011-03-21,2018-09-16,-7.428999999999999,0.8079999999999999,-0.139,0.016,2011-03-21,2018-09-16,tab:olive,AST,2011-03-21,2018-09-16,2736 days 00:00:00.000000000,-0.9917552083333332
56,Sommer,Sommer - CTL,RGI60-11.01450,CTL,82.166,2011-03-21,2018-09-16,-10.993,0.679,-0.903,0.057,2011-03-21,2018-09-16,tab:olive,AST,2011-03-21,2018-09-16,2736 days 00:00:00.000000000,-1.4675413925438596
